,tweet,label,label2
0,ya orospu cocuklari hepiniz niye ayni anda yaziyonuz tam ciddi iliski yapcam biri geliyo surprise motherfucker diye cikiyo sonra suriyeli gibi uruyolar aklim karisiyo,nefret,1
1,ciddiye alan tüm dünyanın beynini sileyim.. işi gücü boş gündem.. 2 sene oldu membice giriyor 1 senedir fırat'ın doğusuna 6 senedir suriye de savaş bitiyor.. sonuç 5 milyon suriyeli bize girdi..,saldırgan,2
2,"kayıtlı i̇stihdama geçiş programına göre (?) şimdilik i̇stanbul, bursa, adana, hatay ve konya'da istihdam edilecek her bir suriyeli ve türk işçi için sosyal güvenlik prim bedeline karşılık 6 ay boyunca, aylık 950 tl teşvik sağlanacakmış. bu şey değil mi? ""promosyon"" yazıklar olsun",hiçbiri,0
3,hastaneye git suriyeli. ptt ye git suriyeli. plaja git suriyeli. git bakalım camiye var mı suriyeli? neymiş din kardeşi. hadi oradan!,nefret,1
4,cölesi bitmiş suriyeli gibiyim bugün,hiçbiri,0
5,çocuklar sadece türkiye'de değil irak ve suriye'de de terör örgütlerinin uzantıları aracılığıyla savaştırılıyor. iraklı ve suriyeli çocuklar da örgüt tarafından kandırılarak veya kaçırılarak alıkonuluyor.,hiçbiri,0
6,suriyeli olduğunuzu biliyorduk,hiçbiri,0
7,keşke sadece suriyeli çalıştıran işverene teşvik verseler?,hiçbiri,0
8,"sizin suriyeli, afgan, pakistanlı politikanıza nokta nokta nokta",hiçbiri,0
9,ülkemde (büyükelçi dahil) suriyeli istemiyorum.,nefret,1
10,"bu sanal teröristler kendilerini bazen bir ateist, bazen deist, bazen tarikatci, bazen suriyeli mülteci, bazen chp li, bazen akp li, bazen ülkücü, bazen radikal solcu, bazen i̇mamoğlu taraftarı, bazende reisci gibi gösterdikleri sahte profillerle provakasyonel paylaşımlar yapıyor",hiçbiri,0
11,"ülkenin ismini mahmood koyalım. bayrağımızda az yıldız yerine, plaj ve nargile olsun i̇ş verenlere suriyeli çalıştırma zorunluluğu getirelim. arapçayı önce ikinci resmi dil yapalım sonra da özümüze osmanlıya dönüyoruz diye tek resmi dil olsun. bunu mu istiyorsunuz o.. çocukları.",saldırgan,2
12,"birkaç ay önce tüm ankara’yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde aştideyken suriyeli sanıp önüme para falan koyan olmuşlardı ,baya üzüldüm evet",nefret,1
13,1 suriyeli ve 1 türk işçi alana devletten teşvik,hiçbiri,0
14,"hatta bazı hassas konularda (süresiz nafaka, i̇st. szl. 6284 skm, eyt, suriyeli mülteciler, cemaat ve tarikatlar, kadın ölümleri vb) sosyal medyada halk arasında sanal çatışma çıkartmakla görevli sahte hesap sahi̇bi̇ yaklaşık 65 bin fetöcü sanal teröri̇st olduğu tahmin edilmektedir.",hiçbiri,0
15,1 milyon suriyeli sınıra dayandı ! halk ne diyor ?,hiçbiri,0
16,"bir i̇ngiliz 100 yıl önceki gazetesini okuyabiliyor... bir fransız, i̇talyan, yunan, rus okuyabiliyor çinli, japon, tayvanlı da i̇ranlı, suriyeli, ermeni, gürcü de okuyabiliyor peki bir türk neden 100 yıl önce...",hiçbiri,0
17,irmağa giren suriyeli boğuldu,hiçbiri,0
18,"ki̇mi̇n parasini ki̇me veri̇yorsunuz!?? çalışma bakanlığı öncülüğünde başlatılan programa göre, suriyeli işçi çalıştırılan iş yerlerine 11 bin 400 tl'ye kadar teşvik verilecek....",hiçbiri,0
19,1 suriyeli alana 1 türk hediye... çok yakında!,nefret,1
20,"bu kadar işsiz türk genci varken, suriyeli çalıştırana neden teşvik olacak. suriyelileri isyemiyoruz. türkiye ekonomisinin çökme noktasında olmasının en büyük sebeplerinden biri suriye'lilerdir.",nefret,1
21,ülke işsiz gençlerle dolu. vatandaşın parası suriyeli istihdamına harcanıyor. sözde yerli ve milli. sandıkta görüşürüz!,hiçbiri,0
